ID", "MARCA", "MODELO", "COR", "CATEGORIA", "PREÇO"},
{"1", "BMW", "1 M", "VERM", "PREMIUM", "675000"},
{"2", "BMW", "116i", "VERM", "POPULAR", "125780"},
{"3", "BMW", "118i", "BRANCO", "POPULAR", "219689"},
{"4", "BMW", "120i", "BRANCO", "PREMIUM", "180500"},
{"5", "BMW", "125i", "AZUL", "LUXO", "220300"},
{"6", "Chevrolet", "Astra Advantage 2.0", "AZUL", "POPULAR", "35783"},
{"7", "Chevrolet", "Camaro 6.2 V8", "PRETO", "PREMIUM", "363036"},
{"8", "Chevrolet", "Celta LS 1.0", "PRATA", "POPULAR", "26900"},
{"9", "Chevrolet", "COBALT LTZ 1.4", "BRANCO", "POPULAR", "54481"},
{"10", "Chevrolet", "CRUZE  LT 1.8", "BRANCO", "POPULAR", "57895"},
{"11", "Ferrari", "FF F1 6.3", "VERM", "LUXO", "3025090"},
{"12", "Ferrari", "F430 4.3", "VERM", "LUXO", "1299900"},
{"13", "Ferrari", "PORTOFINO M 3.9", "VERM", "LUXO", "3394500"},
{"14", "Ferrari", "SF 90 SPIDER 4.0", "VERM", "LUXO", "6594430"},
{"15", "Ferrari", "F458 Italia F1 4.5", "VERM", "PREMIUM", "252370"},
{"16", "Fiat", "ARGO PRECISION", "VERM", "POPULAR", "67743"},
{"17", "Fiat", "CRONOS DRIVE 1.8 ", "PRATA", "POPULAR", "78017"},
{"18", "Fiat", "Fiat Strada Trekking 1.8", "BRANCO", "POPULAR", "37891"},
{"19", "Fiat", "Toro Volcano 2.4", "BRANCO", "LUXO", "125353"},
{"20", "Fiat", "Siena ELX 1.8", "VERM", "POPULAR", "16219"},
{"21", "Ford", "Maverick Lariat Hybrid 2.5 Aut.", "BRANCO", "PREMIUM", "231030"},
{"22", "Ford", "Mustang GT Performance 5.0 V8", "BRANCO", "PREMIUM", "529001"},
{"23", "Ford", "Ranger XL 2.0 4x4", "PRATA", "PREMIUM", "218326"},
{"24", "Ford", "TERRITORY Titanium 1.5", "BRANCO", "PREMIUM", "200774"},
{"25", "Ford", "TRANSIT Minibus 15 Lug.", "BRANCO", "PREMIUM", "307457"},
{"26", "Honda", "CITY Hatchback Touring 1.5", "VERM", "PREMIUM", "126463"},
{"27", "Honda", "Civic Sed.Touring 2.0", "VERM", "PREMIUM", "265728"},
{"28", "Honda", "Civic Type-R 2.0", "PRATA", "PREMIUM", "419152"},
{"29", "Honda", "HR-V EXL 1.5", "PRATA", "PREMIUM", "158028"},
{"30", "Honda", "NSX 3.0", "BRANCO", "PREMIUM", "300000"},
{"31", "Hyundai", "Creta Ultimate 2.0", "BRANCO", "PREMIUM", "184690"},
{"32", "Hyundai", "HB20S Platinum Plus 1.0", "BRANCO", "PREMIUM", "104681"},
{"33", "Hyundai", "Tucson GLS 1.6", "VERM", "PREMIUM", "166380"},
{"34", "Hyundai", "IONIQ 1.6", "VERM", "PREMIUM", "144230"},
{"35", "Hyundai", "AZERA GLS 3.3", "PRATA", "POPULAR", "44252"},
{"36", "Jeep", "Commander Longitude T270 1.3", "PRATA", "LUXO", "223140"},
{"37", "Jeep", "Renegade S T270 1.3", "BRANCO", "LUXO", "150437"},
{"38", "Jeep", "COMPASS SPORT T270 1.3", "BRANCO", "PREMIUM", "137745"},
{"39", "Jeep", "Commander Overland T270 1.3", "VERM", "PREMIUM", "223477"},
{"40", "Jeep", "Gladiator Rubicon 3.6", "VERM", "PREMIUM", "396201"},
{"41", "Nissan", "KICKS Special Ed.1.6", "PRETO", "POPULAR", "82871"},
{"42", "Nissan", "GT-R 3.8 V6", "PRETO", "LUXO", "1206570"},
{"43", "Nissan", "Pathfinder SE 4.0", "PRETO", "POPULAR", "63653"},
{"44", "Nissan", "X-TRAIL LE 2.0", "VERM", "POPULAR", "45162"},
{"45", "Toyota", "Hilux Chassi 4x4 2.8", "VERM", "POPULAR", "202937"},
{"46", "Toyota", "ETIOS X Plus 1.5", "PRETO", "POPULAR", "71629"},
{"47", "Toyota", "Corolla XEi 1.8", "PRETO", "POPULAR", "50476"},
{"48", "Toyota", "Hilux SW4 SRX 4x4 2.8", "PRETO", "LUXO", "346544"},
{"49", "Toyota", "COROLLA CROSS 2.0", "VERM", "LUXO", "176696"},
{"50", "VolksWagen", "Gol 1.0 Flex 12V", "VERM", "POPULAR", "76388"},
{"51", "VolksWagen", "Polo 1.0 TSI", "PRETO", "POPULAR", "88515"},
{"52", "VolksWagen", "AMAROK Highline CD 3.0", "VERM", "LUXO", "238613"},
{"53", "VolksWagen", "Saveiro Trendline 1.6", "VERM", "POPULAR", "95546"},
{"54", "VolksWagen", "VIRTUS Highline 200 TSI 1.0", "PRATA", "LUXO", "125386"}
